instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry,dz_jump,bar_range_ratio,is_max50,oneway_run,counter_share10,accel,flat_bars20,zero_bars20,recross_n,bars_stretch,sig_hour,gap_capture,er40_sig,z_sig_check,cost_ret
AUDUSD,2016-10-19 16:00:00+00:00,2016-10-20 12:00:00+00:00,-1,0.7717299999999999,0.010210825029479238,5,2.441050056259585,0.0020493964013418805,0.656532364708641,3.035856573705189,0.0,2.0,0.4,0.5543331569899158,2.0,0.0,2.0,14.0,12.0,-0.09711286089238409,0.30562706877528456,2.441050056259585,0.0001036631982688246
EURUSD,2016-10-21 04:00:00+00:00,2016-10-26 04:00:00+00:00,1,1.0882,0.003225510016541011,19,2.261531887122475,0.0012256889990049577,0.5175002824193875,2.7728285077950745,0.0,1.0,0.5,0.4169241023611819,1.0,0.0,1.0,55.0,0.0,-0.9116465863454227,0.2652559055118156,2.261531887122475,5.513692335967653e-05
USDCAD,2016-10-21 16:00:00+00:00,2016-11-01 12:00:00+00:00,-1,1.33253,-0.0038573240377327155,43,2.2473101641005857,0.0018168747089413388,1.3424245834034467,5.927130774235452,1.0,1.0,0.1,0.41953099679734207,0.0,0.0,0.0,6.0,12.0,-0.007683863885841369,0.06168647425013989,2.2473101641005857,9.005425769025839e-05
EURCHF,2016-10-21 16:00:00+00:00,2016-10-26 00:00:00+00:00,1,1.0810713801000003,0.0020420884694918214,15,2.2873323150251927,0.0008576464509796179,0.3638550282664039,2.0628151485179016,0.0,3.0,0.3,0.8739770583274553,0.0,0.0,2.0,45.0,12.0,-0.3362472367776157,0.3407492941804475,2.2873323150251927,0.0002775024901429263
AUDCAD,2016-10-26 04:00:00+00:00,2016-10-27 16:00:00+00:00,-1,1.0269392091999998,0.011140034383253769,9,2.365103593998192,0.0018919539132562693,0.4690629550324408,2.9352783917660417,0.0,4.0,0.4,0.703670865824518,2.0,0.0,3.0,35.0,0.0,-0.30229830953676556,0.3744500817046092,2.365103593998192,0.00029213024228932135
AUDCAD,2016-11-01 12:00:00+00:00,2016-11-02 04:00:00+00:00,-1,1.0242719945999998,0.0029772669916559363,4,2.031514880288792,0.0018560743384019424,0.04854656699453597,0.559760864734705,0.0,6.0,0.1,0.6753955575795827,2.0,0.0,0.0,6.0,8.0,4.25403881235422,0.21830208760643033,2.031514880288792,0.00029289095238531484
AUDUSD,2016-11-08 20:00:00+00:00,2016-11-09 00:00:00+00:00,-1,0.77432,0.015510383304060451,1,2.2934937906200417,0.001856290231714695,0.7132962660063864,3.658536585365876,0.0,2.0,0.3,0.6060572250721838,3.0,1.0,0.0,28.0,16.0,0.24444444444443897,0.3042155584528457,2.2934937906200417,0.00010331645831180907
EURCAD,2016-11-16 08:00:00+00:00,2016-11-25 12:00:00+00:00,1,1.4437030452000001,-0.00751979829653705,44,2.031641400187208,0.002151631596269636,0.20347198603162475,2.235639416184086,0.0,1.0,0.4,0.23849761293617155,1.0,0.0,1.0,30.0,4.0,0.9185357501529796,0.19650003229267368,2.031641400187208,0.0002077989659974986
EURJPY,2016-11-16 12:00:00+00:00,2016-11-28 20:00:00+00:00,-1,116.93941929000002,-0.014150174851616655,52,2.0511309309167185,0.002240713125605823,0.11698450104629798,0.7753964001921063,0.0,3.0,0.3,0.465097920164608,1.0,0.0,3.0,27.0,8.0,2.4007973404177436,0.16281052920714792,2.0511309309167185,0.0002565430902782448
AUDUSD,2016-11-18 16:00:00+00:00,2016-11-23 00:00:00+00:00,1,0.73425,0.010391556009533641,15,2.163739965402669,0.002784898357236415,0.2956819461137048,2.9473684210526248,0.0,1.0,0.2,0.33487988084833786,0.0,0.0,6.0,38.0,12.0,-0.10837438423645347,0.4693757361601912,2.163739965402669,0.00010895471569628875
AUDNZD,2016-11-21 16:00:00+00:00,2016-11-23 04:00:00+00:00,1,1.0442478185276125,0.00860445388088556,9,2.206022967888604,0.002024173157313548,0.7929420722499232,3.544043929373928,0.0,1.0,0.3,0.24094443836195717,1.0,0.0,0.0,10.0,12.0,0.3777132952955616,0.23333785059908232,2.206022967888604,0.0002872881270874949
GBPJPY,2016-11-21 20:00:00+00:00,2016-11-28 08:00:00+00:00,-1,138.20194740000002,-0.007888653817912863,28,2.0581545504073335,0.0033670445120310144,0.15918350265498638,1.1830093289150574,0.0,2.0,0.5,1.1994959415711044,0.0,0.0,2.0,52.0,16.0,1.343709860439949,0.33533597177006297,2.0581545504073335,0.00021707364161208624
GBPCHF,2016-11-23 16:00:00+00:00,2016-11-28 08:00:00+00:00,-1,1.2650138851,0.005571895757842295,17,2.1012921281862136,0.003013505536611307,1.500121114569009,3.970897925121319,0.0,1.0,0.5,2.135045391030717,0.0,0.0,2.0,14.0,12.0,-0.37318816865074395,0.1791336174466067,2.1012921281862136,0.0002371515471360102
GBPCHF,2016-11-30 16:00:00+00:00,2016-12-07 04:00:00+00:00,-1,1.2712256112,-0.0037892477602406768,28,2.0454711813552446,0.0028775152759485797,1.4185701325010487,4.699374211070546,1.0,1.0,0.3,0.5191039111995968,0.0,0.0,0.0,8.0,12.0,0.1811816462454236,0.15044214484725585,2.0454711813552446,0.00023599272808609383
GBPJPY,2016-11-30 20:00:00+00:00,2016-12-07 08:00:00+00:00,-1,143.49336297,-0.0006598256395994889,28,2.1669818850227025,0.0042820176018385754,0.2193283011315046,1.145283731440903,0.0,6.0,0.1,0.5779799054268943,0.0,0.0,0.0,9.0,16.0,-1.1330217030668854,0.2842143380154045,2.1669818850227025,0.00020906890311206985
USDJPY,2016-11-30 20:00:00+00:00,2016-12-05 00:00:00+00:00,-1,114.67750000000001,0.010594929258136905,14,2.0799160481479664,0.003459311951428804,0.21226908714786297,1.1035172528754853,0.0,6.0,0.1,0.7097505282152254,0.0,0.0,0.0,6.0,16.0,-1.2114803625377417,0.2871304050589639,2.0799160481479664,6.104074469708529e-05
EURGBP,2016-12-01 12:00:00+00:00,2016-12-05 16:00:00+00:00,1,0.8409625752677948,0.006221822094573102,14,2.737241078784539,0.0030615462736633416,1.3903813090804205,3.012755144160753,0.0,1.0,0.4,0.47572967433071467,1.0,0.0,0.0,6.0,8.0,-0.15302615476285675,0.21515725321888302,2.737241078784539,0.0003567340673923194
GBPUSD,2016-12-01 12:00:00+00:00,2016-12-07 08:00:00+00:00,-1,1.2621149999999999,0.002044187732496531,24,3.5678313755098796,0.0029369423878907877,1.607904572024594,4.172281039460994,0.0,6.0,0.4,0.9132516225960001,0.0,0.0,0.0,6.0,8.0,0.005767012687440112,0.2650570443088375,3.5678313755098796,7.130887438941778e-05
