instr,entry,exit,dir,ret,bars_held,year,z_sig,z_sigprev,z_cf_sig,z_entry_raw,z_cf_entry,gap_sig,gap_entry,gap_sig_atr,gap_entry_atr,gap_sig_bd_bps,gap_entry_bd_bps,gap_z_share,delta_sig_h,delta_entry_h,wknd_sig,wknd_entry,sessgap_sig,sessgap_entry,holiday,gap_made,gap_alone,gap_saved,r1,r2,r3,ret_path,filled_18
AUDCHF,2016-09-13 16:00:00+00:00,2016-09-16 12:00:00+00:00,1,0.005635592679076035,17,2016,-2.566008059257429,-1.9796745417344748,-2.5559691213132374,-2.101184607708221,-2.1141489789431103,-6.114179999983094e-05,7.886790000000143e-05,0.04445384987367767,0.055791324054698686,0.8360973864050761,-1.0843391078362021,0.4939095499371266,4.0,4.0,False,False,False,False,False,False,False,False,0.0004974834397293293,0.0028433767345101835,0.0020064311289964554,0.006048284603656695,1.0
EURGBP,2016-09-26 08:00:00+00:00,2016-09-27 12:00:00+00:00,-1,0.009782896008670194,7,2016,2.1876562927802974,1.6535367615118428,2.1969227918581,2.391395373786189,2.3757157542965324,-5.497231948059511e-05,9.96693170649543e-05,0.039749857824776705,0.06740815490541092,-0.6353729803361212,1.1473889044052235,-0.026745980665187262,4.0,4.0,False,False,False,False,False,False,False,False,0.0026611650717600632,0.0036355198512042497,0.0036493483508666102,0.01012574084221074,1.0
EURCHF,2016-09-29 20:00:00+00:00,2016-09-30 08:00:00+00:00,1,0.003358230562306744,3,2016,-2.365867430462994,-1.7074743377002515,-2.286570156698414,-2.261245957563704,-2.219267577655071,-0.00022170199999993478,-0.00011561080000022095,0.3304749273899987,0.18077214675317205,2.0421553245268704,1.066739226308254,0.2710780077931235,4.0,4.0,False,False,False,False,False,False,False,False,-0.00015296960328248232,-0.0012813604305877968,0.003635488911276852,0.003635488911276852,1.0
GBPCHF,2016-10-05 20:00:00+00:00,2016-10-18 04:00:00+00:00,1,-0.025803191510612306,52,2016,-2.044203515730112,-1.6524533128631456,-2.0211247574505324,-1.847442600316205,-1.8574121479645922,-0.00017330760000011658,7.646579999986969e-05,0.09832686474862638,0.04537403431124661,1.3920008743929606,-0.6158709955544148,0.06640477131203876,4.0,4.0,False,False,False,False,False,False,False,False,-0.000875053063198461,-0.0010353549984980503,-0.002694318346329605,-0.02556479199514694,0.0
EURJPY,2016-10-06 08:00:00+00:00,2016-10-11 08:00:00+00:00,-1,0.007940312051544617,19,2016,2.0545662757757386,1.9886825865735778,2.0687083871040266,1.7885665537098354,1.7625561669061223,-0.016887029999978154,0.031102700000005257,0.11346980020762017,0.20459588236474693,-1.4572715092408448,2.6790383622953877,-1.249588646754841,4.0,4.0,False,False,False,False,False,False,False,False,-0.0011461274574606772,-0.0008661787309485192,0.002784686289854621,0.008198076096224582,1.0
GBPUSD,2016-10-06 12:00:00+00:00,2016-10-18 04:00:00+00:00,1,-0.031451042107385606,48,2016,-2.0320821699720213,-1.7366854725442764,-2.0259328473391047,-2.0333451009728356,-2.025990100499213,-8.000000000008001e-05,-9.999999999998899e-05,0.036756260050576375,0.05496015388842428,0.6294355536678783,0.7898145515432108,0.02335352588531438,4.0,4.0,False,False,False,False,False,False,False,False,-0.0023804628062571442,-0.020309064739098104,-0.017106116444964514,-0.03138098476820139,0.0
USDJPY,2016-10-06 16:00:00+00:00,2016-10-13 12:00:00+00:00,-1,0.004151550825264878,30,2016,2.1367245302453037,1.9370143253267154,2.134306024443892,2.042273478701636,2.083196373872841,0.0030000000000001137,-0.05200000000000671,0.019047619047619906,0.3272498426683888,0.28942722352465566,-4.998942531388236,0.03839771208226345,4.0,4.0,False,False,False,False,False,False,False,False,0.0029501926754500474,0.002469705269024902,0.002162193328912876,0.004218679428412253,1.0
NZDUSD,2016-10-07 04:00:00+00:00,2016-10-14 00:00:00+00:00,1,-0.003478309653711845,30,2016,-2.174826569658716,-1.7697946538773095,-2.154408393111543,-2.0672245270421814,-2.082085957181036,-0.00012000000000000899,9.00000000000345e-05,0.11385199240987577,0.09307135470530961,1.6761415222159848,-1.2620950778296802,0.0886954924856135,4.0,4.0,False,False,False,False,False,False,False,False,0.0016832183134152245,-0.0016691914941368013,0.003773214385905721,-0.003282275711159799,1.0
USDCAD,2016-10-07 12:00:00+00:00,2016-10-10 12:00:00+00:00,-1,0.01176161130317168,7,2016,2.0022473467100594,1.7784100745785762,2.0259022021811797,2.4530932845407705,2.4699059988657543,-0.000140000000000029,-0.0001100000000000545,0.09718847622355435,0.07757404795490522,-1.0560458625633928,-0.8286939030733582,-0.10675059087696787,4.0,4.0,False,False,False,False,False,False,False,False,0.0016758600994994932,0.0007890821096298017,0.004396314610794594,0.011851261779868727,1.0
AUDNZD,2016-10-12 12:00:00+00:00,2016-10-17 04:00:00+00:00,-1,0.003817606053596714,17,2016,2.1430660547823406,1.9180964329336567,2.1013948253630472,1.8753057265969346,1.8457715397400645,0.0002713199324326787,0.00019060122181713268,0.24228917206630732,0.16480669572011272,2.533595691923778,1.7767756972196331,0.5087840604736904,4.0,4.0,False,False,False,False,False,False,False,False,0.0009440504784804515,-0.00032355422008345514,0.003947686818730922,0.004096989111704863,1.0
USDCHF,2016-10-12 16:00:00+00:00,2016-10-18 00:00:00+00:00,-1,0.0030906593406591558,21,2016,2.082357064402869,1.9231727403725298,2.0738641997763456,1.9415129605618024,1.987065243357625,4.999999999999449e-05,-0.00026999999999999247,0.04861448711715535,0.2812499999999906,0.5055765088930351,-2.726363939292887,0.11054493766541326,4.0,4.0,False,False,False,False,False,False,False,False,-7.069778715917963e-05,0.0011715633300677375,0.0017270459434619578,0.0031915001060466297,1.0
AUDCHF,2016-10-18 04:00:00+00:00,2016-10-21 12:00:00+00:00,-1,0.003684893993283184,20,2016,2.2297193676516947,1.8837324857139994,2.199962933590205,2.52256498718085,2.521138508013861,0.00014780389999990984,7.668999999932424e-06,0.098828058532635,0.00523866062819595,1.9582150339110167,0.10132020223423087,0.2559307665965354,4.0,4.0,False,False,False,False,False,False,False,False,-0.0003775411235413806,1.2040111454281188e-05,0.0005343641285469047,0.004079390060347965,0.0
